country,points,price,province,taster_name,title,variety,winery
US,85,75,California,Virginie Boone,Cerridwen 2012 Moonlight Sonata Abouriou (Russian River Valley),Abouriou,Cerridwen
US,86,36,California,Jim Gordon,Amador Cellars 2013 Aglianico (Amador County),Aglianico,Amador Cellars
US,86,58,California,Virginie Boone,Benessere 2014 Collins Holystone Vineyard Aglianico (St. Helena),Aglianico,Benessere
US,89,28,California,Virginie Boone,Gianelli 2009 Aglianico (Tuolumne County),Aglianico,Gianelli
US,92,30,California,Matt Kettmann,Giornata 2012 French Camp Vineyard Aglianico (Paso Robles),Aglianico,Giornata
US,92,45,California,Matt Kettmann,Giornata 2014 Luna Matta Vineyard Aglianico (Paso Robles),Aglianico,Giornata
US,86,28,California,Virginie Boone,Monte Volpe 2010 Aglianico (Mendocino County),Aglianico,Monte Volpe
US,92,28,California,Jim Gordon,Monte Volpe 2012 Aglianico (Mendocino),Aglianico,Monte Volpe
US,87,25,California,Virginie Boone,Montoliva 2008 Aglianico (Sierra Foothills),Aglianico,Montoliva
US,81,24,California,Virginie Boone,Montoliva 2010 Aglianico (Sierra Foothills),Aglianico,Montoliva
US,86,34,California,Virginie Boone,Orsi Family Vineyards 2013 Aglianico (Dry Creek Valley),Aglianico,Orsi Family Vineyards
US,91,30,California,Jim Gordon,Prima Materia 2013 Estate Bottled Aglianico (Kelsey Bench-Lake County),Aglianico,Prima Materia
US,92,28,California,Jim Gordon,Rosa d'Oro 2012 Aglianico (Clear Lake),Aglianico,Rosa d'Oro
US,90,18,California,Jim Gordon,Terra d'Oro 2014 Aglianico (Amador County),Aglianico,Terra d'Oro
US,91,30,California,Matt Kettmann,West of Temperance 2012 Aglianico (California),Aglianico,West of Temperance
US,90,28,California,Virginie Boone,Artesa 2015 Albariño (Carneros),Albariño,Artesa
US,89,25,California,Jim Gordon,Berryessa Gap 2015 Albariño (Yolo County),Albariño,Berryessa Gap
US,90,24,California,Matt Kettmann,Bodega de Edgar 2016 Paso Ono Vineyard Albariño (Paso Robles),Albariño,Bodega de Edgar
US,89,26,California,Matt Kettmann,Brecon Estate 2014 Albariño (Central Coast),Albariño,Brecon Estate
US,89,30,California,Matt Kettmann,Brecon Estate 2015 Albariño (Central Coast),Albariño,Brecon Estate
US,90,28,California,Matt Kettmann,Brecon Estate 2015 True Acacia Head Albariño (Central Coast),Albariño,Brecon Estate
US,91,30,California,Matt Kettmann,Brecon Estate 2016 Albariño (Central Coast),Albariño,Brecon Estate
US,87,24,California,Matt Kettmann,Broken Earth 2014 Albariño (Paso Robles),Albariño,Broken Earth
US,89,24,California,Matt Kettmann,Broken Earth 2015 Albariño (Paso Robles),Albariño,Broken Earth
US,89,18,California,Jim Gordon,Calavera 2014 Dragone Vineyard Albariño (Calaveras County),Albariño,Calavera
US,82,18,California,Virginie Boone,Calavera Wines 2012 Dragone Vineyard Albariño (Calaveras County),Albariño,Calavera Wines
US,91,35,California,Matt Kettmann,Cambiata 2014 Albariño (Monterey),Albariño,Cambiata
US,91,24,California,Matt Kettmann,Cambiata 2015 Albariño (Monterey),Albariño,Cambiata
US,88,25,California,Matt Kettmann,Caren 2013 La Presa Vineyard Albariño (Santa Ynez Valley),Albariño,Caren
US,87,21,California,Matt Kettmann,Chesebro 2015 Cedar Lane Albariño (Arroyo Seco),Albariño,Chesebro
US,86,25,California,Matt Kettmann,Clavo Cellars 2012 Ole Albariño (Paso Robles),Albariño,Clavo Cellars
US,87,26,California,Matt Kettmann,Croma Vera 2015 Spanish Springs Vineyard Albariño (San Luis Obispo County),Albariño,Croma Vera
US,88,12,California,Jim Gordon,Dancing Coyote 2013 Estate Grown Albariño (Clarksburg),Albariño,Dancing Coyote
US,87,24,California,Matt Kettmann,Derby 2013 Derby Vineyard Albariño (Paso Robles),Albariño,Derby
US,90,25,California,Virginie Boone,Drew 2012 Albariño (Anderson Valley),Albariño,Drew
US,94,28,California,Virginie Boone,Eighty Four 2015 Albariño (Napa Valley),Albariño,Eighty Four
US,94,28,California,Virginie Boone,Eighty Four 2016 Albariño (Napa Valley),Albariño,Eighty Four
US,89,28,California,Virginie Boone,En Garde 2012 Terra Alta Vineyard Albariño (Lodi),Albariño,En Garde
US,87,28,California,Jim Gordon,En Garde 2013 Vista Luna Vineyard Albariño (Lodi),Albariño,En Garde
US,88,28,California,Jim Gordon,En Garde 2014 Vista Luna Vineyard Borden Ranch Albariño (Lodi),Albariño,En Garde
US,88,20,California,Matt Kettmann,Espana Robles 2013 Albariño (Edna Valley),Albariño,Espana Robles
US,88,19,California,Virginie Boone,Harney Lane 2011 Albariño (Lodi),Albariño,Harney Lane
US,87,19,California,Virginie Boone,Harney Lane 2012 Albariño (Lodi),Albariño,Harney Lane
US,91,20,California,Virginie Boone,Hendry 2014 Hendry Vineyard Albariño (Napa Valley),Albariño,Hendry
US,89,32,California,Matt Kettmann,Hungry Hawk 2016 Albariño (San Diego County),Albariño,Hungry Hawk
US,88,29,California,Virginie Boone,Imagery 2013 Albariño (Sonoma Valley),Albariño,Imagery
US,87,24,California,Matt Kettmann,Kenneth Volk 2012 Riverbench Vineyard Albariño (Santa Maria Valley),Albariño,Kenneth Volk
US,87,15,California,Jim Gordon,Klinker Brick 2015 Albariño (Lodi),Albariño,Klinker Brick
US,88,15,California,Jim Gordon,Klinker Brick 2016 Albariño (Lodi),Albariño,Klinker Brick
US,91,23,California,Matt Kettmann,Longoria 2013 Clover Creek Vineyard Albariño (Santa Ynez Valley),Albariño,Longoria
US,90,25,California,Matt Kettmann,Longoria 2014 Clover Creek Vineyard Albariño (Santa Ynez Valley),Albariño,Longoria
US,90,32,California,Virginie Boone,Marimar Estate 2013 Don Miguel Vineyard Estate Grown & Bottled Albariño (Russian River Valley),Albariño,Marimar Estate
US,92,32,California,Virginie Boone,Marimar Estate 2014 Don Miguel Vineyard Estate Grown and Bottled Albariño (Russian River Valley),Albariño,Marimar Estate
US,93,35,California,Virginie Boone,Marimar Estate 2015 Don Miguel Vineyard Estate Grown and Bottled Albariño (Russian River Valley),Albariño,Marimar Estate
US,90,35,California,Virginie Boone,Marimar Estate 2016 Don Miguel Vineyard Albariño (Russian River Valley),Albariño,Marimar Estate
US,91,23,California,Matt Kettmann,Mariposa 2016 Albariño (Edna Valley),Albariño,Mariposa
US,91,24,California,Matt Kettmann,Mattina Fiore 2014 Paragon Vineyards Albariño (Edna Valley),Albariño,Mattina Fiore
US,87,24,California,Jim Gordon,Metate Hill Vineyards 2010 Barrica Albariño (Calaveras County),Albariño,Metate Hill Vineyards
US,91,18,California,Matt Kettmann,Morgan 2015 Albariño (Monterey),Albariño,Morgan
US,88,20,California,Matt Kettmann,Niner 2014 Albariño (Edna Valley),Albariño,Niner
US,89,20,California,Matt Kettmann,Niner 2015 Albariño (Edna Valley),Albariño,Niner
US,85,19,California,Jim Gordon,Oak Farm 2014 Albariño (Lodi),Albariño,Oak Farm
US,86,21,California,Matt Kettmann,Pear Valley 2013 Pear Valley Vineyard Albariño (Paso Robles),Albariño,Pear Valley
US,91,23,California,Matt Kettmann,Peloton 2015 Spanish Springs Vineyard Albariño (San Luis Obispo),Albariño,Peloton
US,88,18,California,Jim Gordon,Quinta Cruz 2013 Bokisch Vineyard Albariño (Clements Hills),Albariño,Quinta Cruz
US,88,20,California,Virginie Boone,Schulz 2012 Dragone Vineyard Albariño (Calaveras County),Albariño,Schulz
US,84,20,California,Jim Gordon,Schulz 2013 Dragone Vineyard Albariño (Calaveras County),Albariño,Schulz
US,89,22,California,Matt Kettmann,Stephen Ross 2014 Jespersen Ranch Albariño (Edna Valley),Albariño,Stephen Ross
US,92,24,California,Matt Kettmann,Stephen Ross 2016 Spanish Springs Vineyard Albariño (San Luis Obispo County),Albariño,Stephen Ross
US,87,17,California,Matt Kettmann,Tangent 2013 Paragon Vineyard Albariño (Edna Valley),Albariño,Tangent
US,88,17,California,Matt Kettmann,Tangent 2014 Paragon Vineyard Albariño (Edna Valley),Albariño,Tangent
US,89,17,California,Matt Kettmann,Tangent 2015 Paragon Vineyard Albariño (Edna Valley),Albariño,Tangent
US,90,32,California,Matt Kettmann,Tangent 2015 Stone Egg Paragon Vineyard Albariño (Edna Valley),Albariño,Tangent
US,90,22,California,Virginie Boone,Thirty-Seven Wines 2015 Albariño (Sonoma Coast),Albariño,Thirty-Seven Wines
US,90,16,California,Jim Gordon,Turkovich 2015 Albariño (Yolo County),Albariño,Turkovich
US,92,25,California,Matt Kettmann,Verdad 2015 Sawyer Lindquist Vineyard Albariño (Edna Valley),Albariño,Verdad
US,90,36,California,Virginie Boone,Carlisle 2013 Pagani Ranch Alicante Bouschet (Sonoma Valley),Alicante Bouschet,Carlisle
US,89,27,California,Jim Gordon,Deaver NV Alicante Bouschet (Amador County),Alicante Bouschet,Deaver
US,87,24,California,Matt Kettmann,Michael Rose Cellars 2014 Rosé of Alicante Bouschet (Central Coast),Alicante Bouschet,Michael Rose Cellars
US,91,30,California,Matt Kettmann,Villa San Juliette 2013 Reserve Alicante Bouschet (Paso Robles),Alicante Bouschet,Villa San Juliette
US,88,30,California,Virginie Boone,Wellington 2013 Noir de Noirs Old Vines Alicante Bouschet (Sonoma County),Alicante Bouschet,Wellington
US,91,24,California,Matt Kettmann,Calera 2013 Aligoté (Mt. Harlan),Aligoté,Calera
US,85,18,California,Virginie Boone,Fenestra 2007 Silvaspoons Vineyard Alvarelhão (Lodi),Alvarelhão,Fenestra
US,84,19,California,Matt Kettmann,Minassian-Young 2016 Alvarinho (Paso Robles),Alvarinho,Minassian-Young
US,86,17,California,Virginie Boone,Briceland 2012 Spirit Canyon Vineyards Arneis (Mendocino County),Arneis,Briceland
US,92,21,California,Jim Gordon,Briceland 2016 Spirit Canyon Vineyard Arneis (Mendocino County),Arneis,Briceland
US,88,29,California,Matt Kettmann,Burbank Ranch 2013 Little Rascal Estate Grown Arneis (Paso Robles),Arneis,Burbank Ranch
US,90,38,California,Virginie Boone,Campovida 2012 Spirit Canyon Vineyard Arneis (Mendocino County),Arneis,Campovida
US,88,15,California,Virginie Boone,Enotria 2010 Arneis (Mendocino),Arneis,Enotria
US,86,15,California,Jim Gordon,Enotria 2014 Uvaggio Isabella Arneis (Mendocino County),Arneis,Enotria
US,90,20,California,Matt Kettmann,Palmina 2012 Honea Vineyard Arneis (Santa Ynez Valley),Arneis,Palmina
US,87,22,California,Virginie Boone,Seghesio 2013 Arneis (Russian River Valley),Arneis,Seghesio
US,90,32,California,Jim Gordon,Amador Cellars 2013 Cooper & Karmere Vineyards Barbera (Amador County),Barbera,Amador Cellars
US,88,24,California,Virginie Boone,Andis 2010 Barbera (Amador County),Barbera,Andis
US,91,28,California,Virginie Boone,Andis 2011 Cooper Ranch Barbera (Amador County),Barbera,Andis
US,90,26,California,Jim Gordon,Andis 2012 Cooper Ranch Barbera (Amador County),Barbera,Andis
US,92,30,California,Jim Gordon,Andis 2015 Barbera (Amador County),Barbera,Andis
US,86,25,California,Jim Gordon,Barrel Racer 2013 Barbera (Yolo County),Barbera,Barrel Racer
US,90,30,California,Jim Gordon,Bella Grace 2013 Barbera (Amador County),Barbera,Bella Grace
US,90,32,California,Jim Gordon,Bella Grace 2014 Barbera (Shenandoah Valley (CA)),Barbera,Bella Grace
US,89,25,California,Jim Gordon,Bella Grace 2015 Barbera (Amador County),Barbera,Bella Grace
US,87,40,California,Matt Kettmann,Bella Luna 2010 Lot One Barbera (San Benito County),Barbera,Bella Luna
US,86,22,California,Virginie Boone,Bella Piazza 2009 Barbera (Shenandoah Valley (CA)),Barbera,Bella Piazza
US,88,18,California,Jim Gordon,Boeger 2012 Barbera (El Dorado),Barbera,Boeger
US,90,18,California,Jim Gordon,Boeger 2013 Barbera (El Dorado),Barbera,Boeger
US,89,18,California,Jim Gordon,Boeger 2014 Barbera (El Dorado),Barbera,Boeger
US,90,24,California,Jim Gordon,Borjón 2012 Reposado Barbera (Amador County),Barbera,Borjón
US,91,30,California,Jim Gordon,Borjón 2012 Reserva Barbera (California),Barbera,Borjón
US,90,36,California,Jim Gordon,Borjón 2012 Seleccion Barbera (Amador County),Barbera,Borjón
US,91,100,California,Jim Gordon,Borjón 2013 Complejo Barbera (Amador County),Barbera,Borjón
US,89,25,California,Jim Gordon,Borra 2012 Old Vine Barbera Barbera (Lodi),Barbera,Borra
US,85,22,California,Virginie Boone,Bray 2010 Barbera (Shenandoah Valley (CA)),Barbera,Bray
US,87,29,California,Jim Gordon,Brooklyn West 2012 Barbera (Amador County),Barbera,Brooklyn West
US,85,31,California,Jim Gordon,Dante Robere 2014 Tracy Hills Barbera (Livermore Valley),Barbera,Dante Robere
US,86,24,California,Virginie Boone,Di Arie 2008 Barbera (Sierra Foothills),Barbera,Di Arie
US,89,24,California,Virginie Boone,Di Arie 2009 Barbera (Sierra Foothills),Barbera,Di Arie
US,83,30,California,Jim Gordon,Domenico 2011 Barbera (Lake County),Barbera,Domenico
US,88,25,California,Virginie Boone,Easton 2009 Cooper Ranch Barbera (Shenandoah Valley (CA)),Barbera,Easton
